MV167󠁂,#genre#
MV
https://vdse.bdstatic.com//286f53c579b11eecd2d70f985a685ae9.mp4

巨星珍藏系列：邓丽君经典歌曲精选（3),https://vdse.bdstatic.com//a43cab220b1ac8f879a1b5e29592c9f3.mp4

巨星珍藏系列:邓丽君经典歌曲精选(2),https://vdse.bdstatic.com//9b36b59762cdf4a47f8c27672b35e343.mp4

巨星珍藏系列:邓丽君经典歌曲精选(1),https://vdse.bdstatic.com//d2b16e989b950ad5db5461066c8dbf46.mp4

粤语和华语经典歌曲【完整版】,https://vdse.bdstatic.com//2922763f303705ef65c46689578439ea.mp4
情歌DJ合集,https://vd4.bdstatic.com/mda-mkp3tpu9ghk2ufev/sc/cae_h264/1637733480141753790/mda-mkp3tpu9ghk2ufev.mp4
蔡依琳,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg1veR5wUosO_wxAM.mp4
南泥湾DJ.https://vd3.bdstatic.com/mda-kmqcdx4qjzckycez/mda-kmqcdx4qjzckycez.mp4?pd=19&vt=1
歌曲mv连唱,https://vdse.bdstatic.com//6f339a68ad454b3eeb0d88af644d5779.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2022-01-17T00%3A10%3A58Z%2F-1%2Fhost%2F666958d3512addd0b4644c16fb89db5f9904637240f2b1beb92353cd7b3d663c
啊爸啊妈,https://vd4.bdstatic.com/mda-mm06d3dmmqsvyjyy/hd/cae_h264/1638354326037576379/mda-mm06d3dmmqsvyjyy.mp4?auth_key=1642571845-0-0-9256ddf0fb55ac0b86cd3ed4d5ecb4c9&bcevod_channel=searchbox_feed&pd=1&pt=3&logid=1645273996&vid=7713915132808114142&abtest=all
你莫走,http://st.chaoyindj.com//zwmtv2016/%E5%B1%B1%E6%B0%B4%E7%BB%84%E5%90%88-%E4%BD%A0%E8%8E%AB%E8%B5%B0-dj%E6%AC%A7%E4%B8%9C-%E5%A4%9C%E5%BA%97.mp4
山谷里的思念谢军,https://vd3.bdstatic.com/mda-kmudxzsmwkdbspui/hd/mda-kmudxzsmwkdbspui.mp4
高志杰-一分钟一万年,http://em.21dtv.com/songs/60079090.mkv
赖伟锋-一个备胎而已,http://em.21dtv.com/songs/60102756.mkv
尹光-尹光串烧金曲,http://em.21dtv.com/songs/60092547.mkv
谢霆锋-一个都不能少,http://em.21dtv.com/songs/60052951.mkv
林奕匡-一个都不能少,http://em.21dtv.com/songs/60061814.mkv
李克勤-一个都不能少,http://em.21dtv.com/songs/60126995.mkv
孙翠凤-勇敢的查某子,http://em.21dtv.com/songs/60054829.mkv
小东-勇敢的金门人,http://em.21dtv.com/songs/60107677.mkv
安迪-勇敢的台湾人(无原唱),http://em.21dtv.com/songs/60095521.mkv
宋伶俐-勇敢的西湖人,http://em.21dtv.com/songs/60072736.mkv
刘德华-与孤独在奔往,http://em.21dtv.com/songs/60055580.mkv
汪明荃-勇敢的中国人(演唱会),http://em.21dtv.com/songs/60054837.mkv
林不夕-勇敢的走下去,http://em.21dtv.com/songs/60132596.mkv
东山少爷-月光光照羊城,http://em.21dtv.com/songs/60092235.mkv
Kent王健-有过很多的梦,http://em.21dtv.com/songs/60097731.mkv
Kent王健-有过很多的梦,http://em.21dtv.com/songs/60109834.mkv
蔡诗芸-雨过后的风景,http://em.21dtv.com/songs/60079338.mkv
佚名-youve got it all over him,http://em.21dtv.com/songs/60006627.mkv
佚名-you give love a bad name,http://em.21dtv.com/songs/60006541.mkv
BON JOVI-you give love a bad name,http://em.21dtv.com/songs/60066761.mkv
太极乐队-一个恋爱故事(演唱会),http://em.21dtv.com/songs/60052954.mkv
太极乐队-一个恋爱故事,http://em.21dtv.com/songs/60052955.mkv
梁杰-有个乐队叫beyond,http://em.21dtv.com/songs/60079280.mkv
谢激文-阳光里的女孩,http://em.21dtv.com/songs/60089475.mkv
梁汉文-衣柜里的男人,http://em.21dtv.com/songs/60053970.mkv
陈嘉唯-游过来游过去,http://em.21dtv.com/songs/60054999.mkv
亦帆+黄宥杰-鱼干女草食男,http://em.21dtv.com/songs/60096039.mkv
品冠-有关你的地方,http://em.21dtv.com/songs/60115764.mkv

千千阙歌https://vd2.bdstatic.com/mda-kdaibix8mrq1dfys/v1-cae/sc/mda-kdaibix8mrq1dfys.mp4
元旦歌曲《欢乐中国年》,https://vd3.bdstatic.com/mda-mm73er9hzxdb54bp/hd/bd265_cae/1638956330672573482/mda-mm73er9hzxdb54bp.mp4

元旦歌曲《红红火火中国年》,https://vd2.bdstatic.com/mda-jberewrdfznfk22n/mda-jberewrdfznfk22n.mp4

元旦歌曲《过年啦》,https://vd4.bdstatic.com/mda-jatw8415f84260zc/mda-jatw8415f84260zc.mp4

元旦《歌曲串烧》,https://vd3.bdstatic.com/mda-mkfbr986ccmthb3s/default/bd265_cae/1639327962172387279/mda-mkfbr986ccmthb3s.mp4

元旦歌曲《感到幸福拍拍手》,https://vd3.bdstatic.com/mda-mkherm2uimiwff7n/default/bd265_cae/1637262919242900864/mda-mkherm2uimiwff7n.mp4

元旦歌曲《卡路里》,https://vd4.bdstatic.com/mda-kiqy7h6zbr35dkda/mda-kiqy7h6zbr35dkda.mp4

元旦歌曲《365个祝福》,https://vd3.bdstatic.com/mda-mfa4pctbe7d9j7bq/default/bd265_cae/1623996729000537198/mda-mfa4pctbe7d9j7bq.mp4

元旦歌曲《虎年2022》,https://vd3.bdstatic.com/mda-mmeh8ypwbsjjr5nf/default/bd265_cae/1639652974651707454/mda-mmeh8ypwbsjjr5nf.mp4

元旦歌曲《牛起来》,https://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/c04d609b125f44b7bc35f83d83ccd679/1200.m3u8

元旦歌曲《拜新年》,https://kvideo01.youju.sohu.com/9a04d5b3-54a4-4e1a-b26f-9cbaafa538d31_0_0.mp4?vid=233076432&uid=1640605283621119&plat=17&SOHUSVP=XGqZ1qcDFih347fwf43xdpaMpNyAICucev1zKDuzWJo&pt=5&prod=h5&pg=1&eye=0&cv=1.0.0&qd=680&src=12050001&ca=4&cateCode=323&_c=1&appid=tv&oth=&cd=



山谷里的思念谢军,https://vd3.bdstatic.com/mda-kmudxzsmwkdbspui/hd/mda-kmudxzsmwkdbspui.mp4
歌曲《醉倾城》,https://vd3.bdstatic.com/mda-miq8vtcf8r5g4bkw/sc/bd265_cae/1632570945809484747/mda-miq8vtcf8r5g4bkw.mp4

歌曲《甜甜咸咸》,https://vd4.bdstatic.com/mda-ma3ikksnhxtimd0y/v1-cae/sc/mda-ma3ikksnhxtimd0y.mp4

元旦歌曲《感到幸福拍拍手》,https://vd3.bdstatic.com/mda-mkherm2uimiwff7n/default/bd265_cae/1637262919242900864/mda-mkherm2uimiwff7n.mp4

歌曲《最亲的人》,https://vd3.bdstatic.com/mda-me7dby1zxqvbhi0v/sc/bd265_nowatermark/1620544641579292623/mda-me7dby1zxqvbhi0v.mp4

歌曲《万爱千恩》,https://vd4.bdstatic.com/mda-mk12vau4qrqa70cf/sc/cae_h264/1635818818836761382/mda-mk12vau4qrqa70cf.mp4

歌曲《旧梦一场》,https://vd4.bdstatic.com/mda-ma3ip9adfvutxe2b/v2-hknm/sc/mda-ma3ip9adfvutxe2b.mp4

歌曲《我从草原来》,https://vd3.bdstatic.com/mda-kkriyq4vnehz15ie/sc/bd265_nowatermark/1607207629/mda-kkriyq4vnehz15ie.mp4

歌曲《学猫叫》,https://vd3.bdstatic.com/mda-masjedkvyxfa0uin/sc/bd265_nowatermark/1611743300/mda-masjedkvyxfa0uin.mp4

歌曲《爱情的力量》,https://vd2.bdstatic.com/mda-jjei5urjb58bg0ce/sc/mda-jjei5urjb58bg0ce.mp4

歌曲《陪你千山万水》,https://vd3.bdstatic.com/mda-mkf3vmuu50rqy3pz/sc/bd265_cae/1637168603137913546/mda-mkf3vmuu50rqy3pz.mp4

歌曲《酒醉的蝴蝶》,https://vd2.bdstatic.com/mda-km3mkbezx53tw0a9/sc/mda-km3mkbezx53tw0a9.mp4

歌曲《你莫走》,https://vd3.bdstatic.com/mda-mdkgh39qducdyw38/sc/bd265_nowatermark/1621027809898589418/mda-mdkgh39qducdyw38.mp4

歌曲《2035去台湾》,https://vd3.bdstatic.com/mda-mkcysdtbtyq39rtj/sc/bd265_cae/1636915368700112674/mda-mkcysdtbtyq39rtj.mp4#https://vd3.bdstatic.com/mda-mkcq60djnt5m5yk9/sc/bd265_cae/1637035012552691189/mda-mkcq60djnt5m5yk9.mp4

歌曲《天边的情哥哥》,https://vd3.bdstatic.com/mda-jeip16ukyixea30z/sc/mda-jeip16ukyixea30z.mp4

歌曲《疯疯爱爱》,https://vd3.bdstatic.com/mda-jg1xqfazdxnrhark/v1-cae/sc/mda-jg1xqfazdxnrhark.mp4

歌曲《原香草》,https://vd4.bdstatic.com/mda-jgekh0qyeqjik0tp/v1-cae/sc/mda-jgekh0qyeqjik0tp.mp4

歌曲《天南地北唱中华》,https://vd3.bdstatic.com/mda-mfp7wvadj5mn2ivq/sc/bd265_cae/1624541353964166455/mda-mfp7wvadj5mn2ivq.mp4

歌曲《小康生活恰恰》,https://vd3.bdstatic.com/mda-mc8im5n7713pw6hp/sc/bd265_nowatermark/1615279924/mda-mc8im5n7713pw6hp.mp4

歌曲《亲爱的姑娘》,https://vd2.bdstatic.com/mda-jd9su6zy4ikpn6y1/v1-cae/sc/mda-jd9su6zy4ikpn6y1.mp4

歌曲《一壶老酒》,https://vd3.bdstatic.com/mda-kj34x9x6k97yfnyn/sc/bd265_cae/1638402398931174649/mda-kj34x9x6k97yfnyn.mp4

歌曲《油菜花之恋》,https://vd4.bdstatic.com/mda-jd1gm43h07ysfc6n/sc/mda-jd1gm43h07ysfc6n.mp4

歌曲《爱的世界只有你》,https://vd4.bdstatic.com/mda-jatr1imw8dq6je7v/sc/mda-jatr1imw8dq6je7v.mp4

歌曲《两根筷子》,https://vd3.bdstatic.com/mda-khrgusx02utzypd6/sc/bd265_nowatermark/mda-khrgusx02utzypd6.mp4

